"","time","country","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","predicted_min2","predicted_max2","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths","death_min","death_max","death_min2","death_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"1038",2020-06-30,"Spain",432,259023,17138430.3680629,255555.262203313,33391286.3055684,13300.9647083935,0.481968365855363,47593.7396802926,716.63967070427,37155.2146137231,9,29385,443092.021203805,2948.45375805277,1116698.43855927,758.730848812048,0.65960748225078,1504.91831116089,563.620424947756,1219.09608995935,0.502639557905894,0.257275664440844,0.717081430567121,0.410605882283048,0.705097055672375
"1039",2020-07-01,"Spain",542,259565,17151091.3116973,255555.674691771,33436689.3236189,12660.9436343654,0.412488457467763,45403.0180504605,642.388547232097,35417.5122908308,8,29393,443805.923269641,2949.03667608678,1118162.373373,713.902065835354,0.582918034010111,1463.93481372264,507.071539219303,1185.22165561524,0.502379737321386,0.257275661773524,0.716307292233362,0.410591288744366,0.704206415757758
"1040",2020-07-02,"Spain",423,259988,17163143.2085438,255556.027717566,33479996.8639722,12051.8968464848,0.353025795924245,43307.5403533693,575.829752433987,33775.2569087719,5,29398,444477.947152597,2949.55166300087,1119584.47946881,672.02388295657,0.514986914082761,1422.10609581424,456.135191898201,1150.76435367817,0.502132432350795,0.257275659490718,0.715567776319307,0.41057821537535,0.703357550322435
"1041",2020-07-03,"Spain",550,260538,17174615.5023878,255556.32985325,33521300.8934251,11472.2938440151,0.302135683517007,41304.0294528533,516.166536908946,32218.4058112755,18,29416,445110.872457729,2950.00619015731,1120964.05831575,632.925305131576,0.454527156441818,1379.57884694522,412.139610166693,1108.33169028603,0.501897035555298,0.25727565753699,0.714861409764353,0.410566503840385,0.702695768508884
"1042",2020-07-04,"Spain",419,260957,17185536.1869106,255556.588435212,33560739.7919731,10920.6845228382,0.258581961576342,39438.898547996,462.684642967243,30752.3969352835,0,29416,445707.05401194,2950.40701650393,1122300.69776175,596.181554211452,0.400826346620926,1336.63944600003,371.826402726192,1072.24913128897,0.501672969695958,0.257275655864899,0.714186775379452,0.410556012292278,0.702078388026058
"1043",2020-07-05,"Spain",429,261386,17195931.8811746,255556.809742053,33598393.56158,10395.6942639845,0.221306841502637,37653.7696069265,414.743770512188,29350.677206931,0,29416,446268.984272433,2950.76028553029,1123594.26430853,561.930260493078,0.353269026360216,1293.56654677604,334.499653217062,1036.20494538409,0.501459686130177,0.257275654433842,0.713542510351037,0.410546613655876,0.701490055937866
"1044",2020-07-06,"Spain",717,262103,17205827.9006114,255556.999147175,33634339.1575787,9896.01943680847,0.189405121660182,35945.5959986939,371.769924562679,28005.3933479041,3,29419,446798.681811106,2951.07135402234,1124844.73563712,529.697538672773,0.311068492047468,1250.4713285942,300.573995781426,1000.28102146782,0.501256663307341,0.257275653209075,0.712927304725982,0.410538194090223,0.700929451991871
"1045",2020-07-07,"Spain",792,262895,17215248.3238623,255557.161249322,33668650.5688019,9420.42325090867,0.16210214732211,34311.4112231305,333.248553364337,26703.7541115151,4,29423,447298.160997108,2951.34531729107,1126052.27558558,499.479186001604,0.273963268730384,1207.53994845522,270.063108117371,964.622481956488,0.501063405355289,0.257275652160858,0.712266634922954,0.410530651610703,0.700395311569376
"1046",2020-07-08,"Spain",901,263796,17224216.0557762,255557.299984288,33701389.2911254,8967.73191388683,0.138734965691347,32738.7223235211,298.718395818157,25460.7771228222,4,29427,447769.282349387,2951.58617043312,1127217.24553893,471.121352278933,0.240853142053118,1164.96995335442,242.589074010261,929.382096613483,0.500879440750506,0.257275651263742,0.711626910001043,0.41052389485456,0.69988642375808
"1047",2020-07-09,"Spain",928,264724,17232752.8868328,255557.418720495,33732624.2542519,8536.83105659884,0.118736207303011,31234.9631265566,267.765964992915,24271.5241490944,5,29432,448213.789574287,2951.79790132625,1128340.09016522,444.507224899922,0.211730893128363,1122.84462629059,217.89410970798,894.619914475019,0.500704321065844,0.257275650495945,0.711016249806667,0.410517841974875,0.699401629449679
"1048",2020-07-10,"Spain",1128,265852,17240879.5492478,255557.520340795,33762421.8960128,8126.66241498657,0.101620299789997,29797.6417608402,240.020602187899,23112.2254326795,2,29434,448633.311706571,2951.98376051224,1129421.38168764,419.522132284699,0.185859185992432,1081.29152241953,196.713907911299,860.448730992539,0.500537619790289,0.257275649838826,0.710433384889417,0.410512419649667,0.698939819467336
